date,AESI,AIXI,ASST,ATMC,BFRG,BMR,CVKD,GNLX,GPCR,HSAI,ICG,IZM,MLYS,NXT,SKWD,TXO
2023-04-17,0.00019663186685647815,3.755638317670673e-05,4.450961569091305e-05,6.497800495708361e-05,7.004135113675147e-05,3.330591061967425e-05,2.881685213651508e-05,0.030866172164678574,3.08858543576207e-05,6.130908877821639e-05,6.192195723997429e-05,0.9681842923164368,7.260921120177954e-05,5.036140282754786e-05,7.3950199293904e-05,0.00012265495024621487
2023-04-18,0.0002001381217269227,3.8212987419683486e-05,4.4317446736386046e-05,6.520986062241718e-05,7.36286019673571e-05,3.2375723094446585e-05,2.820154622895643e-05,0.02402140386402607,3.2556479709455743e-05,6.0476235375972465e-05,6.337607192108408e-05,0.9750169515609741,7.055125024635345e-05,5.051480184192769e-05,7.373541302513331e-05,0.00012834114022552967
2023-04-19,0.00019276309467386454,3.652094164863229e-05,4.2628667870303616e-05,6.261026283027604e-05,7.088937854859978e-05,3.0428111131186597e-05,2.666125692485366e-05,0.02225557155907154,3.1323841540142894e-05,5.765194873674773e-05,6.19385828031227e-05,0.9768219590187073,6.740677781635895e-05,4.782518954016268e-05,6.958802987355739e-05,0.0001241947029484436
2023-04-20,0.00019576316117309034,3.788695903494954e-05,4.528321369434707e-05,6.445083272410557e-05,7.206994632724673e-05,3.189249036950059e-05,2.7943151508225128e-05,0.027091920375823975,3.22504602081608e-05,5.953756772214547e-05,6.365344597725198e-05,0.9719571471214294,7.154518243623897e-05,5.0646016461541876e-05,7.286498293979093e-05,0.00012514011177700013
2023-04-21,0.00019917484314646572,3.813762668869458e-05,4.44128891103901e-05,6.564582145074382e-05,7.290735811693594e-05,3.1686839065514505e-05,2.8524533263407648e-05,0.02366308681666851,3.2639323762850836e-05,6.0713504353770986e-05,6.488696817541495e-05,0.9753758311271667,7.080367504386231e-05,5.0582282710820436e-05,7.280724094016477e-05,0.00012820142728742212
2023-04-24,0.00020148551266174763,3.9957394619705155e-05,4.792130857822485e-05,6.702890095766634e-05,7.289016502909362e-05,3.380719863343984e-05,2.995877366629429e-05,0.0346972718834877,3.347217716509476e-05,6.19560232735239e-05,6.427188054658473e-05,0.9643146395683289,7.650503539480269e-05,5.4170683142729104e-05,7.73816864239052e-05,0.0001272796798730269
2023-04-25,0.00022445234935730696,4.914279270451516e-05,5.968987898086198e-05,7.719325367361307e-05,7.743310561636463e-05,4.147312938584946e-05,3.771758929360658e-05,0.08008318394422531,3.627064506872557e-05,6.956286961212754e-05,6.665126420557499e-05,0.9187853932380676,9.743357077240944e-05,6.623595982091501e-05,9.46956715779379e-05,0.00013355746341403574
2023-04-26,0.0002585113688837737,6.079816012061201e-05,7.354263652814552e-05,9.202688670484349e-05,8.56397018651478e-05,5.333528679329902e-05,4.745625119539909e-05,0.1448739916086197,4.081526640220545e-05,8.139526471495628e-05,7.179038948379457e-05,0.8537924289703369,0.00012314711057115346,8.171656372724101e-05,0.00011878345685545355,0.000144687233841978
2023-04-27,0.00028928695246577263,7.209992327261716e-05,8.57303457451053e-05,0.00010321791341993958,9.27209184737876e-05,6.150024273665622e-05,5.612765016849153e-05,0.20829199254512787,4.4427990360418335e-05,8.915157377487049e-05,7.666817691642791e-05,0.7902061939239502,0.0001451670250389725,9.427937038708478e-05,0.0001380656467517838,0.0001534177572466433
2023-04-28,0.00034098763717338443,9.190003765979782e-05,0.00010961412044707686,0.0001228173787239939,0.00010746169573394582,7.736227416899055e-05,7.100969378370792e-05,0.32260197401046753,5.235856951912865e-05,0.00010332500096410513,8.681781764607877e-05,0.6755906939506531,0.00018296035705134273,0.00011880686361109838,0.00017373129958286881,0.00016817558207549155
