date,market_return,commodity_return,rolling_vol,vix,spread_return,spread_mom_5,spread_mom_21,spread_mom_63,spread_vol_21,market_mom_21,commodity_mom_21,market_vol_21,commodity_vol_21,vol_ratio_21,corr_21,vix_chg_5,vix_z_21
2023-05-26,0.01231686,0.006467656450757088,0.008104023107895484,17.95,-0.005849203549242912,-0.003345704759412156,-0.0017327722353834567,0.00021638983748278008,0.01316862334609907,0.000576216190476188,-0.0011565560449072654,0.008104023107895484,0.008118884727070877,1.001710250420124,-0.3178110874806093,0.0678167757287329,0.3412300662649791
2023-05-30,0.00013836,0.0021086145232071963,0.00789777674499718,17.46,0.001970254523207196,-0.002304796120454487,-0.001324260366144262,8.175060677956779e-05,0.013142846025609117,0.0001778076190476167,-0.0011464527470966422,0.00789777674499718,0.008123004870228668,1.0283877026114843,-0.34585947941096595,0.01452643811737353,-0.15447128776636987
2023-05-31,-0.005091579999999999,0.0013410741564730934,0.007977115098022484,17.94,0.006432654156473093,-0.0031554491730044418,-0.0008078912662530975,3.126274256485131e-05,0.013228245949356723,-8.367619047621354e-06,-0.0008162588853007158,0.007977115098022484,0.00807400337362746,1.0120189135437196,-0.3583648743927549,-0.03184025903939558,0.21232350352113327
2023-06-01,0.00856644,0.008907360918504062,0.007764317663777347,15.65,0.0003409209185040625,-0.003027003677022532,-0.0020406365330142297,0.00018533746374092356,0.011700782855440291,0.0009263057142857118,-0.0011143308187285144,0.007764317663777347,0.0075531885639113,0.9726824955461179,-0.16687624310358481,-0.21867199201198206,-1.731594419097688
2023-06-02,0.01573612,-0.011862895471838218,0.008172239926270674,14.6,-0.02759901547183822,-0.004940877884579347,-0.003953971011399791,-0.00021929686987686778,0.012451358945093178,0.002013893333333331,-0.0019400776780664568,0.008172239926270674,0.007741995021507236,0.9472369698364883,-0.22374425066317064,-0.2371995820271683,-2.186282773713069
2023-06-05,-0.0026039599999999998,0.0051832076716698,0.007965941569583487,14.73,0.0077871676716698,-0.0022136036403968043,-0.004309595455907978,3.645919259911894e-05,0.011972739708247311,0.0022377923809523783,-0.0020718030749555965,0.007965941569583487,0.007587305086265701,0.952348529231446,-0.18467125953775382,-0.17938718662952635,-1.9199368854378407
2023-06-06,0.00180656,0.0011004245820887583,0.007087252803258293,13.96,-0.0007061354179112417,-0.002748881628620492,-0.002898000479780843,9.843172889198219e-05,0.010392273197073053,0.001461233333333331,-0.001436767146447509,0.007087252803258293,0.007244449725992733,1.0220360259530585,-0.051497893297684866,-0.20045819014891175,-2.1043876114818776
2023-06-07,-0.00230006,-0.009640116005658556,0.007128095430975411,13.94,-0.007340056005658556,-0.005503423661046822,-0.0033510882991947314,2.421720791916071e-05,0.010367435691439265,0.0013542666666666644,-0.001996821632528064,0.007128095430975411,0.007408411367621317,1.039179716325903,-0.016942735816336898,-0.22296544035674482,-1.8323686982185607
2023-06-08,0.0058357,0.014247709288651293,0.0070882959602364196,13.65,0.008412009288651292,-0.003889205987017376,-0.0034354030082645644,-0.00022695157198297878,0.010258495069378279,0.0018148495238095215,-0.0016205534844550397,0.0070882959602364196,0.008028072169941133,1.132421641721586,0.08309553533054768,-0.12779552715654952,-1.746485750642686
2023-06-09,0.00171552,-0.003188636640955879,0.007075388671332356,13.83,-0.0049041566409558784,0.0006497657791590926,-0.003373940271181651,-0.0008378733843955505,0.010244993038452584,0.0017212590476190451,-0.0016526812235626027,0.007075388671332356,0.00803317465072898,1.1352082289194663,0.08474230074348209,-0.05273972602739718,-1.4680959102248115
2023-06-12,0.00844704,-0.0030057740867063284,0.00714871087779176,15.01,-0.011452814086706328,-0.003198230572516133,-0.0034200697776101143,-0.001440832992396452,0.010280726798861339,0.00224678095238095,-0.0011732888252291612,0.00714871087779176,0.0076066372009367935,1.0639083637024156,0.030082701275129155,0.01900882552613714,-0.7689628315301844
