date,weight_market,weight_sector_Unknown,weight_sector_Healthcare,weight_sector_Financial Services,weight_sector_Technology,weight_sector_Consumer Cyclical,weight_sector_Industrials,weight_sector_Communication Services,weight_sector_Real Estate,weight_sector_Consumer Defensive,weight_sector_Energy,weight_sector_Basic Materials
2022-04-25,0.6195337,0.027580699,0.016040461,0.0033262665,0.004103288,0.097648375,0.06526258,0.039788757,0.009378101,0.044127934,0.0021633937,0.071046434
2022-04-26,0.61952055,0.027581543,0.016047848,0.0033273285,0.004103731,0.09765517,0.06527229,0.03978737,0.009377884,0.044130366,0.002164295,0.071031526
2022-04-27,0.61949545,0.027587596,0.016044904,0.0033274696,0.0041045607,0.09765105,0.06527153,0.0397927,0.009380652,0.04413393,0.0021645012,0.07104565
2022-04-28,0.61953765,0.0275833,0.016045004,0.00332677,0.004103275,0.09764892,0.0652683,0.039786268,0.009377766,0.044130087,0.002163984,0.07102868
2022-04-29,0.6195376,0.027580917,0.016046427,0.0033269061,0.004103163,0.097651854,0.065269195,0.039785475,0.009377355,0.044128843,0.0021639848,0.07102837
2022-05-02,0.6195125,0.027583644,0.016044093,0.0033270344,0.00410394,0.09765151,0.065268554,0.03978984,0.00937942,0.04413055,0.002164053,0.07104483
2022-05-03,0.61952734,0.02757875,0.01604314,0.0033266353,0.0041033044,0.097652465,0.06526507,0.039787926,0.009378125,0.044127155,0.0021635601,0.07104653
2022-05-04,0.61950225,0.027584365,0.016045844,0.0033274554,0.004104269,0.09765352,0.065271355,0.03979086,0.009379771,0.044131923,0.0021643608,0.071044095
2022-05-05,0.6195783,0.027576014,0.016043065,0.0033257953,0.0041017993,0.097647265,0.06526173,0.039780542,0.009375015,0.04412344,0.0021630789,0.07102399
2022-05-06,0.6196051,0.027575197,0.016034959,0.0033244395,0.004100975,0.097638085,0.06525015,0.03978064,0.009374656,0.044120714,0.002161996,0.07103306
2022-05-09,0.61960196,0.027575616,0.01603689,0.003324619,0.004101162,0.09764004,0.06525279,0.039780334,0.009374322,0.044121847,0.0021622335,0.07102813
2022-05-10,0.61958283,0.027574783,0.016028576,0.00332406,0.0041014906,0.09763655,0.06524376,0.039787803,0.00937651,0.044120695,0.0021614707,0.07106143
2022-05-11,0.6195118,0.027583484,0.016042097,0.003326826,0.0041039935,0.09765024,0.06526655,0.03979222,0.009379253,0.04413136,0.0021638812,0.07104834
2022-05-12,0.6194955,0.027585527,0.016040321,0.0033269178,0.0041044517,0.09764916,0.06526591,0.039795525,0.009380747,0.044132486,0.0021639338,0.07105949
2022-05-13,0.6194947,0.027582541,0.016047765,0.0033278225,0.004104493,0.09765802,0.065274335,0.039791524,0.0093793785,0.044132132,0.0021645522,0.07104282
2022-05-16,0.61950904,0.027578875,0.016052999,0.003328035,0.004103962,0.09766308,0.06527832,0.039785888,0.0093775075,0.04413006,0.0021647273,0.07102755
2022-05-17,0.6194699,0.027588366,0.016051,0.0033285401,0.004105364,0.09765909,0.06528035,0.039792445,0.009381357,0.044135835,0.0021653164,0.071042486
2022-05-18,0.6194819,0.02758617,0.016052807,0.0033285732,0.0041049975,0.09766076,0.06528134,0.03978997,0.009380147,0.044134546,0.0021653117,0.071033515
2022-05-19,0.6195308,0.027581725,0.016041752,0.0033264603,0.004103302,0.09764848,0.065264046,0.039787836,0.009378637,0.04412796,0.002163564,0.071045406
2022-05-20,0.6195157,0.027580392,0.01604649,0.0033271788,0.004103785,0.09765592,0.0652707,0.039786898,0.009378401,0.0441286,0.0021640726,0.07104181
2022-05-23,0.61951846,0.02758168,0.016044876,0.0033270174,0.0041037174,0.097652845,0.06526831,0.0397884,0.009378733,0.04412948,0.0021639655,0.0710425
