date,weight_market,weight_bond
2023-01-09,0.619587,0.38041297
2023-01-10,0.6195877,0.3804123
2023-01-11,0.6195881,0.38041186
2023-01-12,0.61958706,0.38041288
2023-01-13,0.6195878,0.38041222
2023-01-17,0.61958855,0.3804115
2023-01-18,0.6195892,0.38041088
2023-01-19,0.619591,0.38040903
2023-01-20,0.61959136,0.38040864
2023-01-23,0.6195881,0.38041192
2023-01-24,0.6195868,0.38041317
2023-01-25,0.61958826,0.3804117
2023-01-26,0.6195894,0.3804107
2023-01-27,0.6195884,0.38041162
2023-01-30,0.6195886,0.38041136
2023-01-31,0.6195905,0.3804095
2023-02-01,0.6195887,0.38041133
2023-02-02,0.6195876,0.38041243
2023-02-03,0.6195872,0.38041282
2023-02-06,0.61958957,0.38041043
2023-02-07,0.6195906,0.38040942
2023-02-08,0.61958873,0.3804113
2023-02-09,0.61958975,0.38041028
2023-02-10,0.61959076,0.3804093
2023-02-13,0.6195897,0.3804103
2023-02-14,0.6195878,0.38041225
2023-02-15,0.6195884,0.3804116
2023-02-16,0.6195886,0.38041136
2023-02-17,0.61959034,0.3804096
2023-02-21,0.61959016,0.38040987
2023-02-22,0.6195915,0.38040853
2023-02-23,0.6195903,0.3804097
2023-02-24,0.61958855,0.38041145
2023-02-27,0.6195896,0.38041034
2023-02-28,0.619589,0.380411
2023-03-01,0.6195891,0.38041088
2023-03-02,0.6195896,0.3804104
2023-03-03,0.61958855,0.38041148
2023-03-06,0.6195868,0.38041326
2023-03-07,0.6195882,0.38041186
2023-03-08,0.6195906,0.3804094
2023-03-09,0.61959004,0.38040996
2023-03-10,0.6195911,0.38040888
2023-03-13,0.61959153,0.38040847
2023-03-14,0.6195903,0.38040972
2023-03-15,0.6195875,0.38041252
2023-03-16,0.6195884,0.38041168
2023-03-17,0.6195872,0.38041288
2023-03-20,0.6195888,0.38041124
2023-03-21,0.6195884,0.38041165
2023-03-22,0.6195868,0.38041317
2023-03-23,0.6195893,0.3804107
2023-03-24,0.6195894,0.3804107
2023-03-27,0.6195881,0.38041186
2023-03-28,0.6195884,0.38041168
2023-03-29,0.61958873,0.38041124
2023-03-30,0.6195872,0.38041282
2023-03-31,0.6195871,0.38041288
2023-04-03,0.6195865,0.38041344
2023-04-04,0.6195874,0.38041258
2023-04-05,0.619589,0.38041094
2023-04-06,0.6195896,0.38041034
2023-04-10,0.619589,0.380411
