date,Model_Portfolio,Equal_Weight,Market_Only,Bond_Only,Market_Weight,Bond_Weight
2023-02-21,-0.01633605452466457,-0.014724117,-0.02006083,-0.009387403,0.6510234917463749,0.3489765082536251
2023-02-22,0.00011804375303801028,0.00064997305,-0.0013781253,0.0026780714,0.6311399183022559,0.36886008169774415
2023-02-23,0.004685513376747337,0.0044575105,0.005319459,0.003595562,0.6322601978693022,0.3677398021306978
2023-02-24,-0.00887208730234602,-0.008207441,-0.010682576,-0.005732306,0.6342646274717159,0.36573537252828414
2023-02-27,0.002855578039775047,0.0026810921,0.0034061053,0.001956079,0.6203329212053814,0.37966707879461864
2023-02-28,-0.0023251134902602284,-0.001899362,-0.0036961308,-0.00010259308,0.6184769908917611,0.38152300910823883
2023-03-01,-0.004548312197144652,-0.00478183,-0.0038358099,-0.005727851,0.6234213035016896,0.3765786964983105
2023-03-02,0.004000531498978044,0.002852675,0.007777209,-0.002071859,0.6165446898001321,0.38345531019986784
2023-03-03,0.012953975881346317,0.011964066,0.016037835,0.007890297,0.6214980479624964,0.3785019520375036
2023-03-06,-0.0005185309476339725,-0.0008897293,0.0006926941,-0.0024721527,0.6172879374203477,0.3827120625796523
2023-03-07,-0.010021987354389387,-0.008335362,-0.015328599,-0.0013421257,0.6205897212467297,0.37941027875327027
2023-03-08,0.0005921322564542014,0.00029875647,0.001632025,-0.0010345121,0.6100212684869768,0.38997873151302315
2023-03-09,-0.009630321817393685,-0.0074134185,-0.018449787,0.0036229503,0.6004362713137552,0.39956372868624485
2023-03-10,-0.003807050398482438,-0.0013876371,-0.014429608,0.011654334,0.5927548927722175,0.4072451072277825
2023-03-13,0.002551800598123875,0.0032634267,-0.0014251102,0.007951964,0.5758900040211752,0.42410999597882476
2023-03-14,0.006747207750763617,0.005331842,0.016529955,-0.00586627,0.5631966006822989,0.43680339931770107
2023-03-15,0.0006572068892382057,0.0018579953,-0.006254167,0.009970157,0.5740116125409288,0.4259883874590712
2023-03-16,0.00807016607488742,0.006808332,0.017545171,-0.0039285063,0.5587618810297786,0.44123811897022136
2023-03-17,-0.003997845878326958,-0.0027111766,-0.011692772,0.0062704184,0.5716281034677216,0.42837189653227836
2023-03-20,0.0036842220937442407,0.0027975752,0.009615537,-0.0040203864,0.5650228724413526,0.43497712755864737
2023-03-21,0.0063384371805548425,0.0050519016,0.01313051,-0.0030267069,0.579626057686515,0.420373942313485
2023-03-22,-0.006403738950578783,-0.003715651,-0.017046427,0.009615125,0.6008226299609883,0.39917737003901166
2023-03-23,0.0025793423271754613,0.002554657,0.0027034192,0.002405895,0.5829689397226281,0.41703106027737197
2023-03-24,0.0045289107277228634,0.004130997,0.0065619876,0.001700007,0.5818418410394507,0.4181581589605493
2023-03-27,-0.003322689816840135,-0.0044562323,0.0018700034,-0.010782468,0.5895906020585108,0.41040939794148923
2023-03-28,-0.0019512334644358675,-0.0018792732,-0.0022447587,-0.0015137879,0.5984446917069413,0.4015553082930588
2023-03-29,0.00921530264561577,0.007873657,0.014534655,0.0012126591,0.6007090533390491,0.39929094666095094
2023-03-30,0.004003845465250523,0.003483223,0.0058553834,0.0011110627,0.6097359293711464,0.39026407062885354
2023-03-31,0.010445672827211252,0.0094674835,0.014094635,0.004840332,0.6057010287081352,0.39429897129186475
2023-04-03,0.004021483021114736,0.004078606,0.003810607,0.0043466054,0.6065732892515917,0.3934267107484083
2023-04-04,-0.0018800527070238283,-0.00092074473,-0.0055482835,0.003706794,0.6036520744690471,0.3963479255309529
2023-04-05,-0.00025796643980686485,0.0003876601,-0.0026180837,0.003393404,0.6073987979553015,0.3926012020446985
2023-04-06,0.0019848756736080696,0.0015026636,0.0039007105,-0.0008953832,0.6005426607713165,0.3994573392286835
2023-04-10,-0.0019600978348300246,-0.002921666,0.0010264341,-0.0068697664,0.6217760741641312,0.3782239258358688
2023-04-11,0.000385728898779692,0.00043521833,0.00026873298,0.0006017037,0.6486300249233754,0.35136997507662465
2023-04-12,-0.002259129098066394,-0.0014368931,-0.004076043,0.001202257,0.6557766712787041,0.3442233287212959
2023-04-13,0.008273539485022966,0.006441218,0.013282764,-0.00040032793,0.6339113706748706,0.3660886293251294
2023-04-14,-0.0032860963160213407,-0.0036740196,-0.0024428042,-0.004905235,0.657536718889857,0.342463281110143
2023-04-17,0.0005072652609674311,-0.00072102156,0.00358818,-0.005030223,0.6425190704243819,0.357480929575618
2023-04-18,0.0009090656790324188,0.0010338586,0.00065227866,0.0014154385,0.6635213060679733,0.3364786939320267
2023-04-19,-0.0006370577407066316,-0.00084179314,-0.00016897352,-0.0015146128,0.6521473311578543,0.3478526688421457
2023-04-20,-0.001858864762740329,-0.00045333942,-0.005457151,0.0045504724,0.6404454641092421,0.3595545358907579
2023-04-21,-8.510996506591714e-05,-0.00046736002,0.0007768861,-0.0017116062,0.6536070882043227,0.3463929117956773
2023-04-24,0.002039315794611732,0.002488209,0.0010433275,0.0039330903,0.6553390782707833,0.3446609217292167
2023-04-25,-0.008121028000730952,-0.004823214,-0.01587393,0.0062275017,0.649212694371393,0.3507873056286071
2023-04-26,-0.004030449974665152,-0.0039644456,-0.004235503,-0.0036933883,0.6217536559364671,0.37824634406353286
2023-04-27,0.011017092342650806,0.008150555,0.019908052,-0.0036069416,0.6219025278741106,0.3780974721258894
2023-04-28,0.007274334463771061,0.006831634,0.008535072,0.005128196,0.6299431920472498,0.37005680795275026
2023-05-01,-0.004435052574227178,-0.0056246244,-0.0010097249,-0.010239524,0.6288838265097857,0.3711161734902143
2023-05-02,-0.0034579357096226333,-0.0007559536,-0.011239172,0.009727265,0.6288717841756168,0.3711282158243832
2023-05-03,-0.0024958829415605783,-0.0012243569,-0.0068640155,0.0044153016,0.6127307615985469,0.3872692384014531
2023-05-04,-0.004794723990276471,-0.004140767,-0.007082993,-0.0011985401,0.6111330745099044,0.38886692549009555
2023-05-05,0.010071016046848453,0.0076557207,0.01851263,-0.0032011892,0.6112330871482039,0.3887669128517961
2023-05-08,-0.0019055670197155516,-0.002626445,0.00026653556,-0.0055194255,0.6245908749525646,0.3754091250474354
2023-05-09,-0.0030740945409725067,-0.0026466534,-0.0043852935,-0.00090801367,0.6229239527490955,0.37707604725090443
2023-05-10,0.005352343338268432,0.0055681327,0.0046723243,0.0064639417,0.6204440380382036,0.3795559619617964
2023-05-11,4.7480692832621053e-05,0.0006332155,-0.001744002,0.003010433,0.6231975598158764,0.37680244018412357
2023-05-12,-0.0029902075554507617,-0.0034564943,-0.0013102096,-0.005602779,0.6086264811573009,0.3913735188426991
2023-05-15,0.0011240194047940422,0.00046738167,0.003450063,-0.0025152997,0.6100750712621322,0.38992492873786777
2023-05-16,-0.004972353053597321,-0.0045012985,-0.006682597,-0.0023200002,0.6079756880234858,0.3920243119765142
2023-05-17,0.006746858144161316,0.005311235,0.012138818,-0.001516349,0.6051340800320435,0.3948659199679565
2023-05-18,0.004129098366890505,0.0024876622,0.009633264,-0.004657939,0.6148564021403389,0.3851435978596612
2023-05-19,-0.0017416786993737477,-0.0018466266,-0.0014551972,-0.0022380562,0.6340573488331724,0.36594265116682756
2023-05-22,-7.992687085436374e-05,-0.00025558326,0.0004062036,-0.0009173701,0.6327137130533285,0.36728628694667154
2023-05-23,-0.006729737526439872,-0.0050501823,-0.0112229325,0.001122568,0.6360459462268299,0.36395405377317014
2023-05-24,-0.00557184546372947,-0.0048967423,-0.0072447625,-0.0025487216,0.6437601209342392,0.35623987906576077
2023-05-25,0.004223870175382821,0.002490459,0.008660066,-0.003679148,0.6404798704861943,0.35952012951380574
2023-05-26,0.0084823182092079,0.006885534,0.0129505,0.0008205688,0.6316399956789459,0.3683600043210541
2023-05-30,0.0026514689234936038,0.0035215567,0.00038106606,0.0066620475,0.6385273704467125,0.3614726295532875
2023-05-31,-0.002141059690323079,-0.0009908834,-0.005545203,0.0035634362,0.6262731130748878,0.3737268869251122
2023-06-01,0.007143733994640099,0.006266075,0.009501063,0.0030310869,0.6356510243237177,0.3643489756762823
2023-06-02,0.007547600316246535,0.004593895,0.014461118,-0.005273328,0.6496725829242288,0.3503274170757712
2023-06-05,-0.0013174667741609122,-0.0010091893,-0.0019163992,-0.00010197934,0.6699041623435367,0.33009583765646333
2023-06-06,0.001844862108603806,0.0017005268,0.002177436,0.0012236176,0.6513237495956596,0.3486762504043403
2023-06-07,-0.004105346456097176,-0.0043764208,-0.003457583,-0.0052952585,0.6475093405032573,0.3524906594967427
2023-06-08,0.005796101643870439,0.0056860726,0.0060486975,0.0053234478,0.6517118891874656,0.34828811081253436
2023-06-09,0.0003617809614088394,-0.00027393765,0.0017941586,-0.002342034,0.6536965730014306,0.3463034269985695
2023-06-12,0.006582685042483818,0.005403568,0.009071797,0.0017353393,0.6607201808278047,0.3392798191721953
2023-06-13,0.002792871798368283,0.0009528082,0.0065929787,-0.0046873624,0.6631212744283661,0.33687872557163395
2023-06-14,0.0011012517799052527,0.0010561149,0.0011909974,0.0009212324,0.6673192000176502,0.3326807999823498
2023-06-15,0.010606870545463656,0.009676352,0.012397492,0.006955211,0.6709795625162928,0.32902043748370724
2023-06-16,-0.003319798339404636,-0.0032774177,-0.003406242,-0.0031485937,0.6644896778105172,0.3355103221894829
2023-06-20,-0.002751412931956563,-0.0016770223,-0.005188046,0.0018340013,0.6530024667230871,0.34699753327691285
2023-06-21,-0.00273967599045684,-0.0017483167,-0.0051239682,0.0016273349,0.6468396971650611,0.35316030283493893
2023-06-22,0.0004499367602935813,-0.0007844899,0.003609733,-0.005178713,0.6404601799049825,0.35953982009501745
2023-06-23,-0.003953177889310111,-0.0022999141,-0.007559899,0.0029600707,0.6571548156711243,0.3428451843288757
2023-06-26,-0.0022418456801216726,-0.0014322279,-0.004085745,0.0012212895,0.6525555948099183,0.3474444051900817
2023-06-27,0.006303296322640133,0.0045159464,0.010963185,-0.0019312922,0.6386136143745347,0.3613863856254653
2023-06-28,0.0013880739714993463,0.0017289872,0.0005045358,0.0029534386,0.6392105927205086,0.3607894072794914
2023-06-29,-0.00022955132177325966,-0.0018878605,0.0039414316,-0.0077171526,0.642239325130727,0.35776067486927293
2023-06-30,0.008575797749834241,0.0070770206,0.01180059,0.0023534507,0.6586488093834088,0.34135119061659125
2023-07-03,0.0003614598576942101,-1.32852e-05,0.001150551,-0.0011771214,0.6609956158675454,0.33900438413245465
2023-07-05,-0.0025533202726638633,-0.0029983162,-0.0014872623,-0.0045093703,0.6472469016560589,0.35275309834394114
2023-07-06,-0.007361149923745907,-0.0071579115,-0.007830559,-0.0064852643,0.6510732927636119,0.3489267072363881
2023-07-07,-0.0015664497938913198,-0.0011586207,-0.002524788,0.00020754655,0.6492602911885732,0.35073970881142685
2023-07-10,0.0026253591518185957,0.0026640699,0.0025311785,0.0027969612,0.6456480285063817,0.35435197149361825
